total_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,2.0500333333333334,0.1858142914547965,2.8397576027228495,0.08150000000000013,3.0315000000000003,1,0.3333333333333333,1,time
3,2.976,0.2741947372300435,2.9661999999999997,2.976,2.9661999999999993,1,0.5,2,time
4,1.9818999999999998,0.18283041669357292,2.771796662816376,0.03049999999999997,2.9442,1,0.3333333333333333,3,time
4,2.0229666666666666,0.18357229280096793,2.8178757156569008,0.04679999999999929,2.99695,1,0.3333333333333333,4,time
2,5.936999999999999,0.5453793863678118,0.0,5.936999999999999,0.0,0,0.0,5,time
3,2.9416325,0.27211660737539234,2.9123124999999996,2.9416325,2.9123125,1,0.5,1,perf_time
3,3.0413845000000004,0.27484912546039997,3.0040495000000007,3.0413845000000004,3.0040495000000007,1,0.5,2,perf_time
3,3.229041,0.2828681077835572,2.991744,3.229041,2.9917439999999997,1,0.5,3,perf_time
5,1.5527237499999997,0.13845553769986665,2.5449727224716345,0.09425499999999998,1.4990812499999997,1,0.25,4,perf_time
4,2.1087183333333335,0.1860867033953873,2.948576548000785,0.04336800000000007,3.1371805,1,0.3333333333333333,5,perf_time
10,2552944863.3333335,0.050429074012536254,7209792050.559174,3543042.0,4623329.0,1,0.1111111111111111,1,perf_instructions
2,22950118247.5,0.4533828293279932,0.0,22950118247.5,0.0,0,0.0,2,perf_instructions
8,3285386186.0000005,0.0648949032955364,8027792423.532051,4984457.333335876,19836805.83333206,1,0.14285714285714285,3,perf_instructions
4,7657482828.833333,0.15153433515091227,10828339455.863876,879001.5,11485282601.25,1,0.3333333333333333,4,perf_instructions
2,22962568595.999996,0.4544979336862102,0.0,22962568595.999996,0.0,0,0.0,5,perf_instructions
5,5831386486.75,0.14138688945930314,9883954264.104141,186560404.5,5787490535.75,1,0.25,1,perf_cycles
5,5481803176.375,0.13737149870899729,9004367996.271696,377060502.25,5255487331.625,1,0.25,2,perf_cycles
3,10841965688.000002,0.27270171515057856,10674041457.333334,10841965688.000002,10674041457.333332,1,0.5,3,perf_cycles
3,11058052509.0,0.27449397903026745,11039849258.75,11058052509.0,11039849258.75,1,0.5,4,perf_cycles
4,7365121239.600001,0.18254305720233457,10153957829.388493,334526615.4000015,10843539266.5,1,0.3333333333333333,5,perf_cycles
8,19308382.57142857,0.0832771172379034,43879160.32048923,1790361.0,1327220.0,1,0.14285714285714285,1,perf_cache_references
9,15798712.1875,0.07126702829602247,34437284.667783275,1663500.25,4989695.75,1,0.125,2,perf_cache_references
5,38057592.91666649,0.1548043044886448,61404776.796884365,3916919.8333330005,40859479.7500005,1,0.25,3,perf_cache_references
7,25324727.375,0.10272712461073594,52701476.104657225,1902718.625,3015724.875,1,0.16666666666666666,4,perf_cache_references
7,27616476.96666667,0.10539018068507229,57804296.87570358,1367905.6000000015,2909581.4499999993,1,0.16666666666666666,5,perf_cache_references
2,4581299.0,0.2181390831823696,0.0,4581299.0,0.0,0,0.0,1,perf_cache_misses
4,1646263.6666666667,0.07694306700425523,2232257.377225885,133024.0,2399383.0,1,0.3333333333333333,2,perf_cache_misses
3,2204243.1666669995,0.10512586583150678,2167695.1666669995,2204243.1666669995,2167695.1666669995,1,0.5,3,perf_cache_misses
4,1547228.5833333333,0.07321536391359049,2144187.8428111225,45798.5,2281576.875,1,0.3333333333333333,4,perf_cache_misses
4,1654798.466666666,0.07730884045474021,2239449.345956005,88083.0,2383642.5999999996,1,0.3333333333333333,5,perf_cache_misses
7,617318631.6666666,0.0870929273087314,1368757409.3534043,4118591.5,10400142.75,1,0.16666666666666666,1,perf_branches
6,739075210.0,0.10427964133130026,1469119464.5957274,2292551.5,14102068.0,1,0.2,2,perf_branches
4,1230905553.7777777,0.1737186015057542,1729797622.2070112,12780885.66666603,1837234046.1666665,1,0.3333333333333333,3,perf_branches
5,923541204.625,0.1302988163248143,1589948134.3501048,8187816.125,930282909.0,1,0.25,4,perf_branches
6,739791626.1200001,0.10442246559775621,1468868974.3564365,7350752.400000095,12675558.399999619,1,0.2,5,perf_branches
4,132534044.0,0.3072420445365387,178967560.65950617,12010049.0,192742202.5,1,0.3333333333333333,1,perf_branch_misses
8,56855605.35714286,0.13170665701109865,134220493.09762058,530110.0,5778756.75,1,0.14285714285714285,2,perf_branch_misses
8,56701149.14285714,0.13164401006584595,133761566.50559351,272468.0,5825328.333333001,1,0.14285714285714285,3,perf_branch_misses
4,132324001.08333333,0.3071664615753588,178663413.66628963,11940627.0,192384525.125,1,0.3333333333333333,4,perf_branch_misses
6,79378500.8,0.18425728348327564,152633257.4634068,259083.6000000015,11851910.399999999,1,0.2,5,perf_branch_misses
4,21.666666666666668,0.33333333333333337,24.444949489732135,8.0,27.5,1,0.3333333333333333,1,perf_cpu_clock
4,16.0,0.32653061224489793,9.228578799938086,19.0,11.0,1,0.3333333333333333,2,perf_cpu_clock
3,14.3333335,0.3583333375,1.9999994999999995,14.3333335,1.9999994999999977,0,0.0,3,perf_cpu_clock
5,9.625,0.15461847389558234,6.956337038988264,8.5,12.25,1,0.25,4,perf_cpu_clock
4,9.0,0.16544117647058823,8.199186951562126,6.0,9.699999999999996,1,0.3333333333333333,5,perf_cpu_clock
3,31.5,0.4921875,7.5,31.5,7.5,0,0.0,1,perf_task_clock
6,16.6,0.19080459770114944,16.95110615859626,12.5,13.0,1,0.2,2,perf_task_clock
3,22.5,0.3648648628926224,21.166666000000006,22.5,21.166666000000006,1,0.5,3,perf_task_clock
8,6.857142857142857,0.09795918367346938,6.8710795872175385,6.0,4.25,1,0.14285714285714285,4,perf_task_clock
4,18.8,0.27728613569321536,13.209087780766694,11.0,14.7,1,0.3333333333333333,5,perf_task_clock
11,13.0,0.004061230865354577,19.570385790780925,3.0,9.25,2,0.2,1,perf_faults
10,14.11111111111111,0.004411790248901395,24.60101372999108,1.0,2.5,2,0.2222222222222222,2,perf_faults
9,15.625,0.004885866166353971,20.711267214033818,3.6666665000000194,19.99999975000003,2,0.25,3,perf_faults
9,15.4375,0.004826858438208396,21.657399861248347,2.0,21.0,2,0.25,4,perf_faults
10,13.733333333333324,0.004292471505073865,20.45091684986275,2.199999999999818,12.799999999999727,2,0.2222222222222222,5,perf_faults
6,47929907.3038,0.06786338485604433,30966159.12205244,57861881.15900004,42107435.565999925,1,0.2,1,weights
8,21100249.06892858,0.033613612619897454,14624296.315642584,19066009.48750007,18184050.21449998,2,0.2857142857142857,2,weights
2,1669787.3339999914,0.002749081991739149,0.0,1669787.3339999914,0.0,0,0.0,3,weights
6,40292083.387099996,0.055842114689399334,22663634.132979453,32893647.221000075,37440889.6337499,1,0.2,4,weights
3,121360661.2852,0.14664634494718623,22033200.339399934,121360661.2852,22033200.339399934,0,0.0,5,weights
8,57572329.14285714,0.0797496660808055,105370028.10754654,3127142.0,41864343.5,1,0.14285714285714285,1,energy
5,100352617.375,0.1401350067405554,129223582.2063675,35507810.75,110635871.375,1,0.25,2,energy
6,89603754.4,0.11779870573315215,148193354.0467451,15353672.66666603,30775462.0,1,0.2,3,energy
3,196701404.25,0.2759966131121676,192903062.25,196701404.25,192903062.25,1,0.5,4,energy
2,378655543.0,0.5266782903844387,0.0,378655543.0,0.0,0,0.0,5,energy
7,1401218715.8333333,0.08391503640479274,3127041332.3462124,3025080.5,3033786.75,1,0.16666666666666666,1,perf_L1_dcache_loads
5,2097960282.875,0.12575005343478962,3626898059.034635,5713699.75,2101879048.375,1,0.25,2,perf_L1_dcache_loads
6,1679427350.733333,0.1006438912089194,3352732961.9357734,1089133.0,8531880.33333397,1,0.2,3,perf_L1_dcache_loads
7,1399035671.5,0.08382149554373995,3124751111.3183107,856953.125,4078757.0,1,0.16666666666666666,4,perf_L1_dcache_loads
7,1400579660.7333333,0.08391980774607895,3123384555.5756664,4482363.199999809,5799560.500000477,1,0.16666666666666666,5,perf_L1_dcache_loads
